,distance,frac_num,height,index,name,spacing,y
0,0.0,1,0.01274057495102654,654,scan_v1,0.0,-2.9351451469399286
1,0.0,1,0.024305096829674522,2445,scan_v2,0.0,-5.742474052115308
2,2.510889696353677,2,0.0011760530723972096,829,scan_v2,2.510889696353677,-3.231584355761631
3,0.0,1,0.009408424579234298,663,scan_v3,0.0,-2.939533452055276
4,0.0,1,0.010976495342411852,2402,scan_v4,0.0,-5.602454240503629
5,1.3977633957717286,2,0.004900221135026195,1500,scan_v4,1.3977633957717286,-4.204690844731901
6,0.0,1,0.014504654559639452,2211,scan_v5,0.0,-5.3358210609697325
7,0.32745320767977315,2,0.018424831467650726,2028,scan_v5,0.32745320767977315,-5.008367853289959
8,1.9931780249750557,3,0.009604433424633019,941,scan_v5,1.6657248172952825,-3.342643035994677
9,2.0995098200049935,4,0.0599787066925801,873,scan_v5,0.10633179502993784,-3.236311240964739
10,2.1977539421894416,5,0.017248778395270836,827,scan_v5,0.09824412218444811,-3.138067118780291
11,0.0,1,0.015092681095859373,2972,scan_v6,0.0,-6.540263241348067
12,1.6799487369405748,2,0.01607272532289361,1908,scan_v6,1.6799487369405748,-4.8603145044074925
13,2.459311327825194,3,0.01489667225043867,1437,scan_v6,0.7793625908846193,-4.080951913522873
14,0.0,1,0.008232371506818215,2282,scan_v7,0.0,-5.412560047604323
15,1.1249497601052774,2,0.017444787240654236,1537,scan_v7,1.1249497601052774,-4.287610287499046
16,0.0,1,0.012544566105664678,2262,scan_v8,0.0,-5.383828429051905
17,0.7081083889386717,2,0.004704212289645682,1778,scan_v8,0.7081083889386717,-4.675720040113234
18,0.0,1,0.004900221135008209,2355,scan_v9,0.0,-5.537697491406158
19,0.09497727505597542,2,0.0058802653620038114,2294,scan_v9,0.09497727505597542,-5.442720216350183
20,3.50869426948751,3,0.012740574951045858,96,scan_v9,3.4137169944315344,-2.0290032219186482
21,3.566246849734677,4,0.013720619178042348,73,scan_v9,0.05755258024716703,-1.9714506416714812
22,0.0,1,0.037633698316936304,2441,scan_v10,0.0,-5.672538264859342
23,2.5719674694520447,2,0.009016406888436634,755,scan_v10,2.5719674694520447,-3.100570795407297
24,0.0,1,0.009212415733816925,1102,scan_v11,0.0,-3.550241629159533
25,0.7683601419355908,2,0.023325052602678475,564,scan_v11,0.7683601419355908,-2.7818814872239424
26,1.4812804107826087,3,0.015680707632040658,115,scan_v11,0.712920268847018,-2.0689612183769244
27,0.0,1,0.0147006634050042,3406,scan_v12,0.0,-6.878173670550349
28,4.741751095662858,2,0.004508203444209435,177,scan_v12,4.741751095662858,-2.1364225748874914
29,0.0,1,0.011956539569468738,1602,scan_v13,0.0,-4.37790042479662
30,0.0,1,0.013132592641824203,3034,scan_v14,0.0,-6.578480055954191
31,3.7951576918965197,2,0.0017640796086144661,566,scan_v14,3.7951576918965197,-2.7833223640576716
32,4.191474343134136,3,0.01685676070443698,318,scan_v14,0.39631665123761595,-2.3870057128200557
33,0.0,1,0.014700663404985548,3085,scan_v15,0.0,-6.625304386437172
34,1.8896556126617758,2,0.008232371506782243,1808,scan_v15,1.8896556126617758,-4.735648773775396
35,2.4836565787939353,3,0.011760530723972984,1482,scan_v15,0.5940009661321595,-4.141647807643237
36,3.5830862374999524,4,0.0013720619178148041,762,scan_v15,1.099429658706017,-3.0422181489372195
37,3.8282772582419726,5,0.02018891107624654,576,scan_v15,0.24519102074202026,-2.7970271281951993
38,0.0,1,0.012152548414810838,1922,scan_v16,0.0,-4.895865238922874
39,0.9259238483768439,2,0.007840353815980805,1371,scan_v16,0.9259238483768439,-3.96994139054603
40,0.0,1,0.01646474301363554,3842,scan_v17,0.0,-7.14270209789489
41,3.1504324845813576,2,0.005684256516605757,1407,scan_v17,3.1504324845813576,-3.9922696133135327
42,3.6401199612254254,3,0.03822172485307895,1089,scan_v17,0.48968747664406775,-3.502582136669465
43,0.0,1,0.012936583796445689,1390,scan_v18,0.0,-4.00328568946007
44,0.0,1,0.012740574951063621,1020,scan_v20,0.0,-3.4162294334919077
45,0.0,1,0.0056842565166039805,1499,scan_v22,0.0,-4.187253972830179
46,0.14718131629854714,2,0.012348557260226656,1427,scan_v22,0.14718131629854714,-4.040072656531632
47,0.3968520302592542,3,0.015680707632037993,1275,scan_v22,0.24967071396070706,-3.790401942570925
