,x,y,semivariance,n_pairs
115,-873.5294117647059,-368.82352941176475,1.7954481838371477,3.0
120,-873.5294117647059,-174.70588235294122,1.077579379566527,3.0
122,-873.5294117647059,-97.05882352941182,0.778121454075116,5.0
125,-873.5294117647059,19.41176470588232,1.3830309135502143,4.0
127,-873.5294117647059,97.05882352941171,2.441631030604993,5.0
128,-873.5294117647059,135.88235294117635,0.31659662022549623,3.0
131,-873.5294117647059,252.3529411764705,2.9859384170473926,3.0
134,-873.5294117647059,368.82352941176464,0.6005939589087227,3.0
135,-873.5294117647059,407.6470588235293,0.5203142221014778,4.0
136,-873.5294117647059,446.4705882352939,0.8650298580443558,4.0
162,-834.7058823529412,-485.29411764705884,0.7798496195294334,4.0
164,-834.7058823529412,-407.6470588235295,0.4455164132405992,4.0
167,-834.7058823529412,-291.17647058823536,0.8873464881390546,3.0
168,-834.7058823529412,-252.3529411764706,0.9482414334889618,3.0
170,-834.7058823529412,-174.70588235294122,2.5517279877626247,3.0
171,-834.7058823529412,-135.88235294117658,1.5328508756593646,5.0
172,-834.7058823529412,-97.05882352941182,0.7435728613291347,3.0
174,-834.7058823529412,-19.411764705882433,1.6591770615735555,6.0
176,-834.7058823529412,58.23529411764707,0.7135632231888587,4.0
179,-834.7058823529412,174.705882352941,3.0585092478746096,5.0
180,-834.7058823529412,213.52941176470586,0.4313334637267778,4.0
181,-834.7058823529412,252.3529411764705,0.9385158182287592,3.0
183,-834.7058823529412,330.0,0.668285381411866,3.0
184,-834.7058823529412,368.82352941176464,0.664554794345355,3.0
185,-834.7058823529412,407.6470588235293,1.5172097834217748,3.0
186,-834.7058823529412,446.4705882352939,0.6759316060234524,4.0
187,-834.7058823529412,485.2941176470588,0.23280929327713265,3.0
214,-795.8823529411765,-407.6470588235295,0.7510502817031931,4.0
215,-795.8823529411765,-368.82352941176475,0.42024034067910804,3.0
217,-795.8823529411765,-291.17647058823536,1.5475247073555372,7.0
219,-795.8823529411765,-213.52941176470597,0.7433804764002286,5.0
220,-795.8823529411765,-174.70588235294122,1.2767932733482614,5.0
221,-795.8823529411765,-135.88235294117658,2.646282540584951,7.0
222,-795.8823529411765,-97.05882352941182,2.3286803874613966,10.0
224,-795.8823529411765,-19.411764705882433,1.841960867367814,5.0
225,-795.8823529411765,19.41176470588232,0.8480560798216547,4.0
227,-795.8823529411765,97.05882352941171,1.4959977475144284,6.0
228,-795.8823529411765,135.88235294117635,0.40850609910444585,7.0
229,-795.8823529411765,174.705882352941,1.6196140937769379,7.0
230,-795.8823529411765,213.52941176470586,1.4028679890421618,8.0
231,-795.8823529411765,252.3529411764705,1.0895439278740056,5.0
232,-795.8823529411765,291.17647058823513,0.7865712258646937,7.0
233,-795.8823529411765,330.0,0.6079717931635246,3.0
234,-795.8823529411765,368.82352941176464,0.34184449487854623,6.0
235,-795.8823529411765,407.6470588235293,0.5448981314446558,10.0
236,-795.8823529411765,446.4705882352939,0.49018291809460574,6.0
237,-795.8823529411765,485.2941176470588,0.17377438958960076,3.0
238,-795.8823529411765,524.1176470588234,1.1560876671286837,7.0
239,-795.8823529411765,562.9411764705881,0.03826819319396307,3.0
240,-795.8823529411765,601.7647058823529,0.1784672926108704,5.0
263,-757.0588235294117,-446.47058823529414,0.3508698012791387,3.0
266,-757.0588235294117,-330.0,1.071390353339131,3.0
267,-757.0588235294117,-291.17647058823536,1.3530576352942003,5.0
268,-757.0588235294117,-252.3529411764706,0.1933558243072836,3.0
269,-757.0588235294117,-213.52941176470597,1.9374355146188142,6.0
270,-757.0588235294117,-174.70588235294122,1.8677700883091115,4.0
271,-757.0588235294117,-135.88235294117658,2.947621541286051,6.0
272,-757.0588235294117,-97.05882352941182,1.455276448275144,7.0
273,-757.0588235294117,-58.23529411764707,0.9869787293343936,6.0
274,-757.0588235294117,-19.411764705882433,2.352015099710229,5.0
275,-757.0588235294117,19.41176470588232,1.3025191685546702,5.0
276,-757.0588235294117,58.23529411764707,1.9354332823978175,3.0
