,name,x_coord,orig_length,masked_length,trimmed_length,frac_to_frac_length,p10_frac,p10_trimmed
0,scan_v1,0.44893718435447005,7.736469127961354,4.150436787663621,4.00995367596659,0.0,,0.24937943946670466
1,scan_v2,0.94893718435447,7.736469127961354,4.13780334177868,4.136234719277962,2.510889696353677,0.79653041027824,0.4835315536322195
2,scan_v3,1.44893718435447,7.736469127961354,4.592399081490754,4.523129609907887,0.0,,0.22108586006677905
3,scan_v4,1.94893718435447,7.736469127961354,4.624344875766612,4.622776253265894,1.3977633957717286,1.4308573296811558,0.4326404503326421
4,scan_v5,2.4489371843544703,7.736469127961354,4.784850552305616,4.783281929804898,2.1977539421894416,2.2750499516879086,1.045307400520283
5,scan_v6,2.9489371843544703,7.736469127961354,4.87870997960608,4.876776912413893,2.459311327825194,1.2198536907699868,0.6151603925870516
6,scan_v7,3.4489371843544703,7.736469127961354,4.864812554156871,4.853506096006208,1.1249497601052774,1.7778571727619479,0.4120732436383947
7,scan_v8,3.9489371843544703,7.736469127961354,4.987961956251043,4.986393333750325,0.7081083889386717,2.8244263607689266,0.40109150364513596
8,scan_v9,4.44893718435447,7.736469127961354,5.023813721777271,5.022245099276553,3.566246849734677,1.1216273490147195,0.7964565489996086
9,scan_v10,4.94893718435447,7.736469127961354,4.807633220608046,4.806064598107327,2.5719674694520447,0.7776148119113256,0.41614089015524647
10,scan_v11,5.44893718435447,7.736469127961354,5.200415844262865,5.198847221762147,1.4812804107826087,2.025274875818416,0.577051002276453
11,scan_v12,5.94893718435447,7.736469127961354,4.548683088283678,4.52313592568399,4.741751095662858,0.421785108423203,0.4421711027173165
12,scan_v13,6.44893718435447,7.736469127961354,4.780767684505841,4.779199062005123,0.0,,0.20924008124081944
13,scan_v14,6.94893718435447,7.736469127961354,4.939244527008087,4.937675904507369,4.191474343134136,0.7157386051793837,0.6075732911634486
14,scan_v15,7.44893718435447,7.736469127961354,5.129164919400923,5.1275962969002045,3.8282772582419726,1.3060705018779406,0.975115767796045
15,scan_v16,7.94893718435447,7.736469127961354,5.1304663720881445,5.128897749587426,0.9259238483768439,2.160004846517373,0.3899473332571081
16,scan_v17,8.44893718435447,7.736469127961354,5.028353302546655,5.026784680045937,3.6401199612254254,0.8241486632187988,0.5968029647079661
17,scan_v18,8.94893718435447,7.736469127961354,5.03393576017926,5.032367137678541,0.0,,0.19871364164048363
18,scan_v19,9.44893718435447,7.736469127961354,5.3634716368939825,5.361903014393264,,,0.0
19,scan_v20,9.94893718435447,7.736469127961354,5.17341686954365,5.171848247042932,0.0,,0.19335447449985843
20,scan_v21,10.44893718435447,7.736469127961354,5.002778572566201,5.0012099500654825,,,0.0
21,scan_v22,10.94893718435447,7.736469127961354,4.8506067074654435,4.849038084964725,0.3968520302592542,7.559492635177323,0.6186794055715947
22,scan_v23,11.44893718435447,7.736469127961354,5.018378302353917,5.018378302353917,,,0.0
23,scan_v24,11.94893718435447,7.736469127961354,5.336327778246532,5.335339499809063,,,0.0
