,semivariance,n_pairs,lag_bin
0,0.12771242356283816,135,20.58823529411765
1,0.1872725480866897,232,40.1764705882353
2,0.2069356386988958,362,59.76470588235294
3,0.25387396218506714,521,79.3529411764706
4,0.3078246626875521,716,98.94117647058825
5,0.38088412983133435,661,118.52941176470588
6,0.447506830478079,773,138.11764705882354
7,0.4674638872200757,797,157.7058823529412
8,0.5206811501096185,1015,177.29411764705884
9,0.6085846005714658,1098,196.8823529411765
10,0.6792135368123075,1045,216.47058823529414
11,0.6975064641561942,1066,236.05882352941177
12,0.6856849523991677,1106,255.64705882352942
13,0.8381902859463983,953,275.2352941176471
14,0.8115400363852389,983,294.82352941176475
15,0.9890596043315142,880,314.4117647058824
16,0.918285219579755,836,334.0
17,1.0834587351896,825,353.5882352941177
18,1.1510982397818932,850,373.1764705882353
19,1.1337821016197052,816,392.764705882353
20,1.0324383424712211,866,412.3529411764706
21,1.1315875782180662,811,431.9411764705883
22,1.169721876054059,826,451.5294117647059
23,1.0405199754869976,771,471.11764705882354
24,1.0411826165799394,826,490.7058823529412
25,0.9781803664553064,770,510.29411764705884
26,1.0923318774995547,753,529.8823529411765
27,1.1848953128674733,767,549.4705882352941
28,1.0650870323111097,714,569.0588235294118
29,1.0830018348200063,741,588.6470588235295
30,1.1457660243854806,695,608.2352941176471
31,1.032972385180944,809,627.8235294117648
32,1.0497811726375201,724,647.4117647058824
33,1.154026446183343,733,667.0
34,1.1877436941601756,745,686.5882352941177
35,1.198093491093122,682,706.1764705882354
36,1.0913757961868402,584,725.764705882353
37,0.9980921855952435,579,745.3529411764706
38,0.9188950720384333,568,764.9411764705883
39,0.9213903260919287,542,784.529411764706
40,0.8046290500663685,505,804.1176470588235
41,0.7556876407845574,456,823.7058823529412
42,0.820803067867148,412,843.2941176470589
43,0.7710700901507342,427,862.8823529411766
44,0.7198809429280315,381,882.4705882352941
45,0.8541424544406423,318,902.0588235294118
46,0.7635306147323822,304,921.6470588235295
47,0.6623505222711067,276,941.2352941176471
48,0.7337354195744268,208,960.8235294117648
49,0.9253817265403502,176,980.4117647058824
